SIG,MRK,TRC,FREQ,PEAK AMPL,QPD AMPL,EAVG AMPL,PEAK LL1 DELTA,QPD LL4 DELTA,EAVG LL5 DELTA,COMPOSITE AMPCOR,RBW,RBW TYPE,TIMESTAMP,COMMENT,USE ANTENNA UNIT
146,False,1,110600000,27.8481518866219,27.397254669825,26.7142026068368,---,-20.5879305187203,-11.2709825817086,0,9000,CISPR,2018/11/29 20:14:41,,False
147,False,1,111100000,27.5254895331063,27.0719983221688,26.3743970038094,---,-20.9317053848951,-11.6293067032545,0,9000,CISPR,2018/11/29 20:14:43,,False
148,False,1,111500000,27.4671857000985,26.9568631292977,26.2559888006844,---,-21.061655392581,-11.7625297211943,0,9000,CISPR,2018/11/29 20:14:45,,False
149,False,1,111800000,27.4114834906258,26.9931256415047,26.2950131537118,---,-21.0365039914851,-11.7346164792781,0,9000,CISPR,2018/11/29 20:14:48,,False
150,False,1,112000000,27.3990857245125,26.9528805853524,26.2421338202157,---,-21.0841564550448,-11.7949032201816,0,9000,CISPR,2018/11/29 20:14:50,,False
151,False,1,112600000,27.7290494085946,27.2890698553719,26.5882184149422,---,-20.7701894072475,-11.4710408476772,0,9000,CISPR,2018/11/29 20:14:52,,False
152,False,1,113000000,27.92972537295,27.5980832220711,26.8881528021493,---,-20.4759908553631,-11.185921275285,0,9000,CISPR,2018/11/29 20:14:55,,False
153,False,1,113800000,28.6715161444344,28.2511441351571,27.5228955389657,---,-19.8525595719068,-10.5808081680982,0,9000,CISPR,2018/11/29 20:14:57,,False
154,False,1,114100000,28.8256756903328,28.4973675848641,27.7945096136727,---,-19.6174472333109,-10.3203052045023,0,9000,CISPR,2018/11/29 20:14:59,,False
155,False,1,114600000,29.2383496405282,28.8770444037118,28.202659332911,---,-19.2562889329818,-9.93067400378256,0,9000,CISPR,2018/11/29 20:15:02,,False
156,False,1,114800000,29.3868786932625,29.0277096869149,28.3657223822274,---,-19.113031057186,-9.77501836187355,0,9000,CISPR,2018/11/29 20:15:04,,False
157,False,1,115200000,29.5603711249032,29.2400509955086,28.6088559271493,---,-18.9155045634071,-9.54669963176649,0,9000,CISPR,2018/11/29 20:15:06,,False
158,False,1,115600000,29.6815793158211,29.403098786036,28.7762143255868,---,-18.7672715876946,-9.3941560481438,0,9000,CISPR,2018/11/29 20:15:08,,False
159,False,1,115900000,29.7539975287118,29.48148318545,28.8522259833016,---,-18.6999982993916,-9.32925550154008,0,9000,CISPR,2018/11/29 20:15:11,,False
160,False,1,116300000,29.8607785345711,29.509544098536,28.8853680731453,---,-18.6867522011205,-9.31092822651114,0,9000,CISPR,2018/11/29 20:15:13,,False
161,False,1,116500000,29.8698422552743,29.5154797674813,28.9070737005868,---,-18.6882239395826,-9.29663000647714,0,9000,CISPR,2018/11/29 20:15:15,,False
162,False,1,117500000,29.7045437933602,29.4315793158211,28.8340985418953,---,-18.8091614282798,-9.40664220220559,0,9000,CISPR,2018/11/29 20:15:18,,False
163,False,1,117700000,29.7296979071297,29.4221341253914,28.8223492743172,---,-18.8260140261169,-9.42579887719111,0,9000,CISPR,2018/11/29 20:15:20,,False
164,False,1,118100000,29.6346356512703,29.3402020575203,28.7415768744149,---,-18.9227609088028,-9.52138609190827,0,9000,CISPR,2018/11/29 20:15:22,,False
165,False,1,118400000,29.5270306708016,29.2433621527352,28.643951141993,---,-19.0307119246991,-9.63012293544126,0,9000,CISPR,2018/11/29 20:15:25,,False
166,False,1,118800000,29.450965607325,29.142371857325,28.5358578802743,---,-19.146517034924,-9.75303101197483,0,9000,CISPR,2018/11/29 20:15:27,,False
167,False,1,119300000,29.3032681585946,29.0026929022469,28.3968732000985,---,-19.3047145085207,-9.91053421066913,0,9000,CISPR,2018/11/29 20:15:29,,False
168,False,1,119500000,29.245628082911,28.9455487372078,28.3274762274422,---,-19.3692660809672,-9.98733859073278,0,9000,CISPR,2018/11/29 20:15:31,,False
169,False,1,119800000,29.1381680609383,28.7929532171883,28.1648251654305,---,-19.5329727120978,-10.1611007638556,0,9000,CISPR,2018/11/29 20:15:34,,False
